no,date,open,high,low,close,volume
39,2014-09-01,475.76,485.51,466.18,469.81,1936.169
40,2014-09-02,469.8,486.26,466.8,472.41,1881.482
41,2014-09-03,472.41,483.45,472.4,473.95,1815.926
42,2014-09-04,473.95,503.02,471.15,488.82,1946.028
43,2014-09-05,489.98,492.58,479.1,481.14,1809.871
44,2014-09-06,481.14,493.26,479.1,483.49,1807.273
45,2014-09-07,483.49,491.31,466.8,481.72,1944.906
46,2014-09-08,481,489.57,466.18,473.79,1881.161
47,2014-09-09,476.15,477.15,467.3,473.43,1880.767
48,2014-09-10,473.43,485.6,469.87,478.59,1909.7618
49,2014-09-11,478.59,487.41,472.93,476.61,1926.6158
50,2014-09-12,476.61,479.55,468.72,475.89,1884.119
51,2014-09-13,474.91,480,473.47,479.05,1868.463
52,2014-09-14,479.05,480,468.72,475.48,1855.235
53,2014-09-15,475.48,477.23,470.46,474.33,1889.409
54,2014-09-16,474.35,476.47,459.32,464.57,1806.373
55,2014-09-17,464.75,467.16,456.16,460.05,2958.861
56,2014-09-18,460.06,460.22,410.1,422.64,2504.986
57,2014-09-19,422.64,429.26,384.45,394.74,5282.301
58,2014-09-20,394.74,425.87,385.85,405.53,3973.833
59,2014-09-21,405.53,412.68,391.84,399.37,4015.098
60,2014-09-22,399.37,408.42,397.06,402.97,4461.196
61,2014-09-23,403.07,444.37,392.87,435.72,6176.916
62,2014-09-24,435.72,437.61,420.85,423.57,14348.667
63,2014-09-25,423.29,424.87,408.22,411.3,7593.826
64,2014-09-26,411.27,415.46,399.01,402.83,6539.442
65,2014-09-27,402.86,406.1,393.58,397.57,7209.817
66,2014-09-28,397.47,399.92,371.55,377.33,7921.513
67,2014-09-29,377.33,387.79,371.3,376.2,12388.205
68,2014-09-30,376.6,394.94,373.13,387.98,11346.002
69,2014-10-01,387.98,395.18,380.8,383.2,11245.135
70,2014-10-02,383.28,385.3,370.75,374.74,8336.099
71,2014-10-03,374.74,377.87,362.74,365.89,9611.962
72,2014-10-04,365.76,369.9,327.24,331.67,15689.676
73,2014-10-05,331.98,344.06,295.19,319.98,17035.571
74,2014-10-06,321.76,347.77,302.96,332.21,26209.942
75,2014-10-07,332.17,346.59,322.48,338.2,21458.207
76,2014-10-08,338.48,355.41,325.73,353.86,13476.972
77,2014-10-09,353.72,383.37,347.38,364.92,19062.308
78,2014-10-10,364.9,378.2,352.72,362.91,19491.268
79,2014-10-11,363.24,370.68,350.54,360.39,9507.757
80,2014-10-12,360.48,374.83,352.26,373.02,6124.724
81,2014-10-13,372.84,392.67,366.84,388.24,10254.519
82,2014-10-14,388.11,409.09,387.96,398.36,16289.1492
83,2014-10-15,398.67,398.67,389.3,394.37,12611.137
84,2014-10-16,394.48,400.54,373.07,381.76,11008.271
85,2014-10-17,381.64,386.33,373.37,380.73,10385.155
86,2014-10-18,380.95,396.62,375.09,389.95,5080.7221
87,2014-10-19,390.05,395.02,384.7,386.58,3389.543
88,2014-10-20,386.57,386.57,379.09,381.05,4889.288
89,2014-10-21,381.25,389.54,378.45,382.08,4758.02
90,2014-10-22,382.08,385.33,378.63,380.51,5065.11
91,2014-10-23,380.52,382.38,355.16,357.81,9216.567
92,2014-10-24,357.74,362,352.71,357,12369.985
93,2014-10-25,357.04,357.87,342.96,347.49,8719.052
94,2014-10-26,347.42,358.11,345.58,351.67,6638.743
95,2014-10-27,351.71,357.69,345.91,350.77,6531.25
96,2014-10-28,350.76,356.37,349,351.87,5705.01
97,2014-10-29,351.88,353.13,334.24,335.34,6847.0288
98,2014-10-30,335.34,350.48,333.27,342.43,9452.003
99,2014-10-31,342.42,347.9,336.32,338.36,9500.836
100,2014-11-01,338.35,338.7,320,325.76,9132.3202
101,2014-11-02,325.76,329.61,319.84,322.8,9401.354
102,2014-11-03,322.92,332.72,320.89,323.41,8006.349
103,2014-11-04,323.41,328.5,319.84,326.72,11107.221
104,2014-11-05,326.72,341.82,326.54,338.26,12166.252
105,2014-11-06,338.24,350.63,335.51,347.98,10423.54
106,2014-11-07,348.03,351.37,340.09,340.94,10900.7028
107,2014-11-08,341.13,346.16,339.7,343.23,6130.6866
108,2014-11-09,343.22,362.08,341.63,360.81,7027.312
109,2014-11-10,360.82,373.67,356.28,364.64,13689.7
110,2014-11-11,364.59,370.75,361.73,366.07,13438.157
111,2014-11-12,366.08,454.15,365.77,453.34,24293.4487
112,2014-11-13,453.79,485.5,390.95,426.8,40414.076
113,2014-11-14,426.19,426.19,381.86,399.32,27478.6961
114,2014-11-15,399.31,407.37,368.07,372.5,11086.88
115,2014-11-16,372.56,390.75,371,386.12,10681.3152
116,2014-11-17,386.43,411.8,377.12,386.63,15068.3571
117,2014-11-18,386.66,394.52,371.9,376.62,18604.45349
118,2014-11-19,376.62,389.49,375.3,381.02,11923.726
119,2014-11-20,381.11,383.25,356.47,357.5,12378.5444
120,2014-11-21,357.5,357.72,343.09,351.31,15402.7695
121,2014-11-22,351.34,363.77,349.96,351.32,9503.394
122,2014-11-23,351.38,370,350.68,366.08,7832.1004
123,2014-11-24,366.06,390.22,364.26,379.46,9914.4712
124,2014-11-25,379.45,398.66,371.99,376.36,26801.851
125,2014-11-26,376.22,380.36,366.7,370.7,9110.839
126,2014-11-27,370.9,376.63,367.65,370.4,5632.347
127,2014-11-28,370.32,384.59,359.37,378.32,21792.829523
128,2014-11-29,378.04,390,372.58,376.72,64799.23
129,2014-11-30,376.72,383.22,374.66,378.15,3389.931
130,2014-12-01,378.15,385.42,375.9,380.79,3215.023
131,2014-12-02,380.94,387.7,378.75,384.61,6857.314
132,2014-12-03,384.47,387.13,374,377.48,8662.538
133,2014-12-04,377.51,380.95,370.48,373.13,10635.283
134,2014-12-05,373.14,380.69,367.95,378.26,11968.463
135,2014-12-06,378.24,380.87,372.31,376.43,6103.3123
136,2014-12-07,376.44,377.87,374,375.56,3883.9028
137,2014-12-08,375.58,376.71,361.35,361.57,7353.2207
138,2014-12-09,361.49,364.5,341.96,353.2,16215.031
139,2014-12-10,353.06,353.77,345.47,345.68,15396.1518
140,2014-12-11,345.48,368.42,336.47,347.28,25547.1868
141,2014-12-12,347.45,354.12,344.66,351.09,13598.105
142,2014-12-13,351.09,351.28,342.55,345.96,12331.499
143,2014-12-14,346.41,350.16,343.48,348.48,8674.804
144,2014-12-15,348.48,348.89,342.46,343.8,14944.765
145,2014-12-16,343.82,345,326.97,327.27,22767.424
146,2014-12-17,327.27,334.38,312.73,318.31,30052.006
147,2014-12-18,318.31,324.61,301.86,309,29742.2488
148,2014-12-19,309,320.01,305.01,316.8,17711.2286
149,2014-12-20,316.8,332.07,315.5,329.54,14518.878
150,2014-12-21,329.54,330,319.31,321.2,11659.167
151,2014-12-22,321.2,335.35,319.05,331.74,16430.007
152,2014-12-23,331.21,339.66,327.38,334.97,13538.2788
153,2014-12-24,334.97,335.59,320.11,322.12,14664.901
154,2014-12-25,322,322.64,315.99,319.04,10906.595
155,2014-12-26,319.04,332.59,316,327.41,14865.1135
156,2014-12-27,326.83,329.44,311.4,314.81,7988.513
157,2014-12-28,314.9,324.39,310.24,317.29,13318.4978
158,2014-12-29,317.44,321.4,309.7,311.76,8956.6752
159,2014-12-30,311.71,314.5,307.27,309.54,7820.438
160,2014-12-31,309.54,320.58,306.39,319.81,11315.8933
161,2015-01-01,319.81,321.18,313.27,313.61,8547.953
162,2015-01-02,313.71,315.3,312.87,314.29,8023.362
163,2015-01-03,313.88,314.5,278.17,278.17,23761.034
164,2015-01-04,278,287.43,255.42,264.3,33257.855
165,2015-01-05,264.3,277.44,263.91,272.55,39135.042
166,2015-01-06,272.44,284.81,271.22,282.58,17664.494
167,2015-01-07,282.69,295.74,280.07,290.01,23647.274
168,2015-01-08,290.11,291.64,277.01,280.84,14936.106
169,2015-01-09,280.84,289.48,276.27,285.94,16061.005
170,2015-01-10,285.94,287.79,270.27,270.81,9055.902
171,2015-01-11,270.81,276.88,262.64,262.65,11877.4886
172,2015-01-12,262.65,272.14,261.42,268.15,11413.7082
173,2015-01-13,268.1,268.44,220,227.79,30200.288
174,2015-01-14,225.57,227.78,172.7,181.69,35827.9522
175,2015-01-15,181.35,224.9,180,209.58,29127.233352
176,2015-01-16,210,221.95,199.11,207.08,20117.6328
177,2015-01-17,206.98,212,190,198.59,17562.185628
178,2015-01-18,198.65,219.44,190,210.71,19751.271
179,2015-01-19,210.85,217.81,202.74,213.36,12499.465
180,2015-01-20,213.26,214.15,203.34,209.62,14134.866
181,2015-01-21,209.61,228.74,208.82,226.47,11644.198
182,2015-01-22,226.47,237.83,225.03,232.85,17024.0796
183,2015-01-23,232.94,234.46,224.06,231.45,14954.873
184,2015-01-24,231.51,248.04,228.66,246.61,13499.3662
185,2015-01-25,246.99,255.5,240.74,251,15975.2507
186,2015-01-26,251.01,310.57,251.01,273.32,32749.361
187,2015-01-27,272.77,275.92,250.45,262.59,20168.133
188,2015-01-28,262.35,268.5,229.3,235.77,22365.4587
189,2015-01-29,236.03,239.17,219.67,233.48,11133.78
190,2015-01-30,233.26,243.55,226,227.62,14332.0285
191,2015-01-31,227.61,235.02,215.68,216.91,10582.739
192,2015-02-01,216.82,232.38,209.19,226.5,19802.5256
193,2015-02-02,226.47,242.5,221.53,238.16,18358.3025
194,2015-02-03,238.35,248.55,223,226.24,25599.816
195,2015-02-04,226.36,230.1,219.71,226.67,20429.462
196,2015-02-05,226.84,229.01,213.85,216.63,16732.2969
197,2015-02-06,216.74,225.95,215.67,222.8,26361.166
198,2015-02-07,222.75,230.39,222.08,226.9,22315.1104
199,2015-02-08,226.95,228.28,218.7,222.47,13174.2308
200,2015-02-09,222.53,224.43,215.79,219.47,22467.75
201,2015-02-10,219.17,221.86,214.1,218.29,28131.6795
202,2015-02-11,218.57,223.49,217.23,218.44,17020.337
203,2015-02-12,218.44,221.98,216.76,221.16,15298.672
204,2015-02-13,220.9,241.78,220,235.36,38845.7398
205,2015-02-14,235.73,262.26,235.45,258.23,46182.592
206,2015-02-15,257.7,266.61,227.01,235.51,49764.9674
207,2015-02-16,235.45,239.7,228.2,233.68,27958.037
208,2015-02-17,233.72,246.64,231.71,244.23,26592.508
209,2015-02-18,244.09,244.76,231.53,236.42,21777.727
210,2015-02-19,236.07,243.99,235.4,240.57,15470.144
